Year,Month,Precipitation
1911,Aug,3.24
1911,Sep,4.86
1911,Oct,2.62
1911,Nov,2.01
1911,Dec,3.7
1912,Jan,2.5
1912,Feb,3.4
1912,Mar,3.7
1912,Apr,5.27
1912,May,3.9
1912,Jun,1.28
1912,Jul,2.62
1912,Aug,4.61
1912,Sep,5.56
1912,Oct,2.6
1913,Jan,3.08
1913,Feb,1.66
1913,Mar,4.83
1913,Apr,1.4
1913,May,3.05
1913,Jun,2.05
1913,Jul,0.42
1913,Sep,2.92
1913,Oct,3.99
1914,Feb,3.38
1914,Mar,5.72
1914,Apr,6.56
1914,May,2.05
1914,Jul,1.8
1914,Aug,4.85
1914,Sep,1.3
1914,Oct,1.3
1914,Dec,2.05
1915,Feb,3.98
1915,Apr,0.75
1915,May,3.25
1916,Sep,6
1916,Oct,2.5
1916,Nov,3.04
1917,Mar,1.84
1917,Apr,3.5
1917,Jul,3.76
1917,Aug,6.39
1917,Nov,0.65
1917,Dec,3.44
1918,Feb,1.43
1918,May,4.33
1918,Jun,2.95
1918,Aug,6.39
1918,Sep,4.95
1918,Oct,3.5
1918,Nov,2.65
1918,Dec,1.5
1919,Jan,1.9
1919,Feb,0.7
1919,Mar,1.65
1919,Apr,3.99
1919,May,3.33
1919,Jun,3.45
1919,Jul,5.66
1919,Aug,0.65
1919,Sep,2.95
1919,Oct,2.57
1919,Nov,2.4
1919,Dec,1.65
1920,Jan,1.9
1920,Feb,3.92
1920,Mar,0.8
1920,Apr,2.69
1920,May,0.5
1920,Jun,2.4
1920,Jul,4.76
1920,Aug,2.51
1920,Sep,6.91
1920,Oct,1.69
1920,Nov,2.26
1920,Dec,1.6
1921,Jan,1.07
1921,Feb,1.6
1921,Mar,2.15
1921,Apr,3.35
1921,May,1.85
1921,Jun,2.76
1921,Jul,3.96
1921,Aug,5.42
1921,Sep,1.92
1921,Oct,2.7
1921,Dec,1.65
1922,Jan,4.65
1922,Mar,3.86
1922,Apr,3.73
1922,May,3.55
1922,Jun,10.32
1922,Jul,2.05
1922,Aug,4.6
1922,Sep,1.03
1922,Oct,2.37
1922,Nov,1.8
1922,Dec,2.15
1923,Jan,2.02
1923,Feb,1.05
1923,Mar,0.9
1923,May,2.8
1923,Jun,3.65
1923,Jul,4.45
1923,Aug,1.56
1923,Sep,3.2
1923,Oct,2.65
1923,Nov,2.15
1923,Dec,1.75
1924,Feb,2.3
1924,Apr,2.1
1924,May,3.94
1924,Jun,3.65
1924,Jul,5.65
1924,Aug,2.65
1924,Sep,6.55
1924,Oct,0.1
1925,Feb,1.5
1925,Apr,2.81
1925,May,3.43
1925,Jun,4.85
1925,Jul,6.65
1925,Aug,3.35
1925,Sep,3.75
1925,Oct,2.38
1925,Nov,1.14
1926,Jan,3.53
1926,Feb,2.05
1926,Mar,1.41
1926,Apr,3.89
1926,May,0.74
1926,Jun,4.08
1926,Jul,4.11
1926,Aug,2.83
1926,Sep,6.58
1926,Oct,5.31
1926,Nov,4.57
1926,Dec,2.89
1927,Feb,2.92
1927,Mar,2.41
1927,Apr,2.52
1927,May,3.68
1927,Jun,2.44
1927,Jul,5.31
1927,Aug,2.4
1927,Sep,0.27
1927,Oct,6.63
1927,Nov,5.21
1927,Dec,3.03
1928,Jan,1.89
1928,Feb,2.34
1928,Mar,4.32
1928,Apr,2.74
1928,May,1.99
1928,Jun,4.85
1928,Jul,3.67
1928,Aug,4.4
1928,Sep,1.51
1928,Oct,3.29
1928,Nov,3.48
1928,Dec,1.65
1929,Jan,3.95
1929,Feb,4.16
1929,Mar,3.12
1929,Apr,6.76
1929,May,4.72
1929,Jun,3.18
1929,Jul,3.64
1929,Aug,3.44
1929,Sep,2.61
1929,Oct,5.03
1929,Nov,3.67
1929,Dec,4.96
1930,Jan,2.69
1930,Feb,1.15
1930,Mar,2.59
1930,Apr,1.79
1930,May,4.31
1930,Jun,5.08
1930,Jul,3.13
1930,Aug,2.35
1930,Sep,4.51
1930,Oct,1.04
1930,Nov,1.91
1930,Dec,2.04
1931,Jan,1.5
1931,Feb,2.23
1931,Mar,1.44
1931,Apr,3.4
1931,May,5.21
1931,Jun,1.45
1931,Jul,4.44
1931,Aug,4.14
1931,Sep,1.87
1931,Oct,2.24
1931,Nov,3.51
1931,Dec,2.48
1932,Jan,3.49
1932,Feb,3.11
1932,Mar,4.03
1932,Apr,2.03
1932,May,1.73
1932,Jun,4.74
1932,Jul,4.14
1932,Aug,4.34
1932,Sep,1.96
1932,Oct,7.26
1932,Nov,6.47
1932,Dec,1.19
1933,Jan,1.06
1933,Feb,1.94
1933,Mar,3.2
1933,Apr,4.05
1933,May,2.87
1933,Jun,1.18
1933,Jul,1.37
1933,Aug,8.71
1933,Sep,4.7
1933,Oct,2.92
1933,Nov,1.83
1933,Dec,1.86
1934,Jan,2.15
1934,Feb,0.73
1934,Mar,2.35
1934,Apr,2.77
1934,May,1.38
1934,Jun,4.93
1934,Jul,1.76
1934,Aug,3.2
1934,Sep,6.27
1934,Oct,2.22
1934,Nov,2.67
1934,Dec,2.92
1935,Jan,2.35
1935,Feb,1.52
1935,Mar,2.04
1935,Apr,2.45
1935,May,2.77
1935,Jun,3.1
1935,Jul,10.17
1935,Aug,1.78
1935,Sep,2.41
1935,Oct,6.4
1935,Nov,2.19
1935,Dec,2.25
1936,Jan,2.51
1936,Feb,1.36
1936,Mar,4.01
1936,Apr,3.4
1936,May,3.92
1936,Jun,1.1
1936,Jul,1.31
1936,Aug,4.44
1936,Sep,3.56
1936,Oct,4.66
1936,Nov,2.53
1936,Dec,2.54
1937,Jan,4.53
1937,Feb,1.76
1937,Apr,3.6
1937,Jun,6.21
1937,Jul,4.17
1937,Aug,3.69
1937,Sep,2.38
1937,Oct,6.34
1937,Nov,2.39
1937,Dec,1.65
1938,Jan,3.09
1938,Feb,2.36
1938,Mar,2.49
1938,Apr,2.67
1938,May,3.1
1938,Jun,1.83
1938,Jul,3.31
1938,Aug,4.98
1938,Sep,5.33
1938,Oct,0.66
1938,Nov,1.74
1938,Dec,3.59
1939,Jan,1.71
1939,Feb,3.16
1939,Mar,2.38
1939,Apr,1.88
1939,May,1.5
1939,Jun,2.59
1939,Jul,1.38
1939,Aug,3.94
1939,Sep,1.25
1939,Oct,3.54
1939,Nov,1.76
1939,Dec,3.77
1940,Jan,0.95
1940,Feb,3.26
1940,Mar,4.41
1940,Apr,3.17
1940,May,4.02
1940,Jun,4.91
1940,Jul,3.61
1940,Aug,3.04
1940,Sep,2.83
1940,Oct,1.35
1940,Nov,2.37
1940,Dec,2.86
1941,Jan,1.73
1941,Feb,1.94
1941,Mar,3.01
1941,Apr,2.13
1941,May,1.54
1941,Jun,3.23
1941,Jul,5.08
1941,Aug,1.99
1941,Sep,3.72
1941,Oct,4.44
1941,Nov,1.54
1941,Dec,2.65
1942,Jan,1.01
1942,Feb,1.89
1942,Mar,2.96
1942,Apr,2.25
1942,May,5.41
1942,Jun,2.34
1942,Jul,2.83
1942,Aug,3.57
1942,Sep,4.82
1942,Oct,4.09
1942,Nov,2.85
1942,Dec,6.42
1943,Jan,1.97
1943,Feb,1.89
1943,Mar,3.21
1943,Apr,2.95
1943,May,5
1943,Jun,3.95
1943,Jul,7.28
1943,Aug,6.31
1943,Sep,0.5
1943,Oct,4.95
1943,Nov,3.38
1943,Dec,0.78
1944,Jan,1.85
1944,Feb,2.35
1944,Mar,3.39
1944,Apr,3.41
1944,May,4.57
1944,Jun,4.52
1944,Jul,2.33
1944,Aug,3.14
1944,Sep,4.9
1944,Oct,4.57
1944,Nov,3.26
1944,Dec,2.56
1945,Jan,3.13
1945,Feb,2.33
1945,Mar,1.98
1945,Apr,3.85
1945,May,4.98
1945,Jun,5.17
1945,Jul,4.81
1945,Aug,2.11
1945,Sep,7.47
1945,Oct,6.59
1945,Nov,4.57
1945,Dec,1.07
1946,Jan,1.36
1946,Feb,2.45
1946,Mar,0.97
1946,Apr,1.92
1946,May,4.13
1946,Jul,3.76
1946,Aug,2.46
1946,Sep,5.75
1946,Oct,4.06
1946,Nov,1.57
1946,Dec,2.69
1947,Jan,3.57
1947,Feb,1.58
1947,Mar,3.36
1947,Apr,3.66
1947,May,7.36
1947,Jun,5.73
1947,Jul,5.82
1947,Aug,2
1947,Sep,4.05
1947,Oct,3.12
1947,Nov,2.98
1947,Dec,2.24
1948,Jan,2.26
1948,Feb,1.9
1948,Mar,2.37
1948,Apr,4.53
1948,May,5.55
1948,Jun,5.97
1948,Jul,3.98
1948,Aug,6
1948,Sep,0.66
1948,Oct,2.04
1948,Nov,4.34
1948,Dec,3.01
1949,Jan,3.44
1949,Feb,1.71
1949,Mar,1.64
1949,Apr,3.4
1949,May,3.39
1949,Jun,1.11
1949,Jul,4.86
1949,Aug,4.71
1949,Sep,5.86
1949,Oct,1.65
1949,Nov,2.49
1949,Dec,2.66
1950,Jan,4.1
1950,Feb,4.6
1950,Mar,3.42
1950,Apr,2.77
1950,May,2.3
1950,Jun,4.56
1950,Jul,3.51
1950,Aug,3.06
1950,Sep,4.96
1950,Oct,2.22
1950,Nov,4.11
1950,Dec,3.93
1951,Jan,2.53
1951,Feb,4.82
1951,Mar,4.17
1951,Apr,4.3
1951,May,1.89
1951,Jun,4.48
1951,Jul,5.53
1951,Aug,3.27
1951,Sep,3.72
1951,Oct,1.89
1951,Nov,4.05
1951,Dec,3.58
1952,Jan,2.2
1952,Feb,1.93
1952,Mar,2.8
1952,Apr,2.22
1952,May,4.53
1952,Jun,1.88
1952,Jul,5.73
1952,Aug,2.13
1952,Sep,1.57
1952,Oct,2.58
1952,Nov,2.55
1952,Dec,4.45
1953,Jan,3.17
1953,Feb,3.28
1953,Mar,3.7
1953,Apr,3
1953,May,5.46
1953,Jun,2.87
1953,Jul,1.77
1953,Aug,3.57
1953,Sep,2.63
1953,Oct,2.97
1953,Nov,1.47
1953,Dec,2.51
1954,Jan,2.61
1954,Feb,2.97
1954,Mar,3.28
1954,Apr,3.63
1954,May,3.8
1954,Jun,5.29
1954,Jul,0.23
1954,Aug,5.06
1954,Sep,3.49
1954,Oct,1.25
1954,Nov,5.14
1954,Dec,4.41
1955,Jan,1.25
1955,Feb,2.9
1955,Mar,4.9
1955,Apr,2.24
1955,May,2.93
1955,Jun,2.12
1955,Jul,2.94
1955,Aug,3.27
1955,Sep,1.8
1955,Oct,7.57
1955,Nov,1.62
1955,Dec,2.35
1956,Jan,2.09
1956,Feb,3.2
1956,Mar,5.53
1956,Apr,3.62
1956,May,2.87
1956,Jun,1.91
1956,Jul,2.9
1956,Aug,3.36
1956,Sep,3.37
1956,Oct,1.71
1956,Nov,2.76
1956,Dec,3.15
1957,Jan,2.56
1957,Feb,1.44
1957,Mar,2.09
1957,Apr,2.67
1957,May,2.91
1957,Jun,4.3
1957,Jul,3.86
1957,Aug,4.03
1957,Sep,2.74
1957,Oct,1.73
1957,Nov,1.6
1957,Dec,3.12
1958,Jan,4.53
1958,Feb,5.41
1958,Mar,2.64
1958,Apr,3.35
1958,May,4.55
1958,Jun,4.4
1958,Jul,5.52
1958,Aug,3.34
1958,Sep,4.86
1958,Oct,4.22
1958,Nov,3.06
1958,Dec,1.54
1959,Jan,4.57
1959,Feb,2.55
1959,Mar,3.71
1959,Apr,2.86
1959,May,2.11
1959,Jun,2.93
1959,Jul,1.31
1959,Aug,3.36
1959,Sep,0.18
1959,Oct,6.9
1959,Nov,5.14
1959,Dec,4.26
1960,Jan,2.49
1960,Feb,3.79
1960,Mar,1.39
1960,Apr,3.83
1960,May,4.33
1960,Jun,3.35
1960,Jul,2.34
1960,Aug,5.22
1960,Sep,3.37
1960,Oct,2.34
1960,Nov,2.79
1960,Dec,1.14
1961,Jan,1.47
1961,Feb,4.37
1961,Mar,2.2
1961,Apr,3.03
1961,May,3.69
1961,Jun,5.5
1961,Jul,4.72
1961,Aug,2.56
1961,Sep,1.69
1961,Oct,2.4
1961,Nov,3.11
1961,Dec,2.13
1962,Jan,2.52
1962,Feb,2.64
1962,Mar,1.45
1962,Apr,4.47
1962,May,1.12
1962,Jun,2
1962,Jul,1.84
1962,Aug,4.88
1962,Sep,2.74
1962,Oct,4.99
1962,Nov,2.42
1962,Dec,3.27
1963,Jan,1.88
1963,Feb,2.23
1963,Mar,3.45
1963,Apr,1.86
1963,May,4.48
1963,Jun,2.79
1963,Jul,3.32
1963,Aug,6.14
1963,Sep,1.01
1963,Oct,0.27
1963,Nov,5.09
1963,Dec,2.99
1964,Jan,2.37
1964,Feb,1.76
1964,Mar,3.8
1964,Apr,2.27
1964,May,4.98
1964,Jun,2.07
1964,Jul,1.53
1964,Aug,3.64
1964,Sep,1.71
1964,Oct,0.93
1964,Nov,2.24
1964,Dec,2.56
1965,Jan,2.79
1965,Feb,1.92
1965,Mar,0.65
1965,Apr,1.97
1965,May,1.8
1965,Jul,3.5
1965,Aug,3.18
1965,Sep,4.43
1965,Oct,1.42
1965,Nov,2.57
1965,Dec,1.8
1966,Mar,3.26
1966,Apr,2.84
1966,May,2.64
1966,Jun,4
1966,Jul,3.14
1966,Aug,5.28
1966,Sep,4.35
1966,Oct,2.3
1966,Nov,2.63
1966,Dec,3.2
1967,Jan,1.27
1967,Feb,1.55
1967,Mar,2.13
1967,Apr,2.55
1967,May,3.1
1967,Jun,1.22
1967,Jul,5.55
1967,Aug,6.91
1967,Sep,2.33
1967,Oct,3.97
1967,Nov,3.92
1967,Dec,2.9
1968,Jan,1.36
1968,Feb,0.68
1968,Mar,2.29
1968,Apr,1.65
1968,May,4.2
1968,Jun,7.03
1968,Oct,5.2
1968,Nov,4.67
1970,Jan,2.26
1970,Feb,2.26
1970,Mar,2
1970,Apr,2.95
1970,May,3.65
1970,Jun,4.09
1970,Aug,1.72
1970,Sep,4.38
1970,Oct,2.82
1970,Nov,3.44
1970,Dec,3.51
1971,Jan,1.62
1971,Feb,5.08
1971,Mar,2.11
1971,Apr,1.22
1971,Jun,3.02
1971,Jul,6.56
1971,Aug,2.27
1971,Sep,2.31
1971,Oct,2.05
1971,Nov,2.96
1971,Dec,3.45
1972,Jan,1.56
1972,Feb,3.32
1972,Mar,3.38
1972,Apr,3.71
1972,May,4.77
1972,Jun,12.3
1972,Jul,2.94
1972,Aug,2.51
1972,Sep,4.42
1976,Jul,3.58
1976,Aug,5.12
1976,Sep,3.02
1976,Oct,7.56
1977,Apr,4.01
1977,May,4.05
1977,Jun,3.74
1977,Jul,3.75
1977,Aug,3.27
1977,Sep,8.87
1980,Jul,2.42
1980,Aug,2.15
1980,Sep,2.58
1980,Oct,3.68
1980,Dec,2.37
1981,Jan,2.09
1981,Feb,4.84
1981,Mar,2.93
1981,Apr,2.98
1981,May,2.18
1981,Jun,5.93
1981,Jul,3.5
1981,Aug,2.67
1981,Sep,8.76
1981,Oct,6.9
1981,Nov,2.43
1981,Dec,4.14
1982,Jan,4.97
1982,Feb,2.75
1982,Mar,4.76
1982,May,3.68
1982,Jun,5.73
1982,Jul,3.04
1982,Aug,2.02
1982,Sep,3
1982,Oct,2.07
1982,Nov,5.05
1982,Dec,2.12
1983,Jan,3.19
1983,Feb,2.24
1983,Mar,3.23
1983,Apr,7.56
1983,May,4.61
1983,Jun,3.81
1983,Jul,1.46
1983,Aug,4.56
1983,Sep,2.87
1983,Oct,2.29
1983,Nov,3.54
1983,Dec,7.49
1984,Jan,3.07
1984,Feb,5.28
1984,Mar,2.89
1984,Apr,4.91
1984,May,6.87
1984,Jun,3.95
1984,Jul,5.4
1984,Aug,4.27
1984,Sep,3.83
1984,Oct,2.88
1984,Nov,3.41
1985,Jan,3.13
1985,Feb,1.81
1985,Mar,3.72
1985,Apr,1.82
1985,May,2.81
1985,Jun,5.77
1985,Jul,2.74
1985,Aug,1.21
1985,Sep,6.01
1985,Oct,2.52
1985,Dec,3.39
1986,Jan,2.46
1986,Feb,1.98
1986,Mar,1.92
1986,Apr,2.1
1986,May,4.95
1986,Jun,2.74
1986,Jul,6.23
1986,Aug,4.88
1986,Sep,3.44
1986,Oct,2.86
1986,Nov,3.94
1986,Dec,2.75
1987,Jan,3.91
1987,Feb,1.14
1987,Mar,1.72
1987,Apr,3.14
1987,May,2.61
1987,Jun,2.79
1987,Jul,2.28
1987,Aug,3.18
1987,Sep,5.84
1987,Oct,1.91
1987,Nov,2.47
1987,Dec,2.45
1988,Jan,1.27
1988,Feb,2.76
1988,Mar,1.11
1988,Apr,0.77
1988,May,1.42
1988,Jun,2.7
1988,Jul,6.9
1988,Aug,3.56
1988,Sep,0.64
1988,Oct,3.29
1988,Nov,2.1
1988,Dec,1.67
1989,Jan,1.18
1989,Feb,1.88
1989,Mar,1.32
1989,Apr,1.06
1989,May,5.02
1989,Jun,3.54
1989,Jul,1.99
1989,Aug,3.08
1989,Sep,5.38
1989,Oct,5.09
1990,Feb,3.17
1990,Mar,2.46
1990,Apr,3.52
1990,May,7.6
1990,Jun,3.81
1990,Jul,2.91
1990,Aug,3.83
1990,Sep,4.57
1990,Oct,8.25
1990,Nov,4.11
1990,Dec,4.03
1991,Feb,1.74
1991,Mar,1.31
1991,Apr,4.38
1991,May,3.19
1991,Jun,2.22
1991,Jul,2.74
1991,Aug,4.41
1991,Sep,5.32
1991,Oct,2.19
1992,Jan,1.43
1992,Feb,1.27
1992,Apr,3.63
1992,May,9.76
1992,Jun,2.21
1992,Jul,10.69
1992,Aug,2.92
1992,Sep,4.06
1992,Oct,4.09
1992,Dec,3.09
1993,Jan,2.89
1993,Apr,7.01
1993,May,1.79
1994,Apr,3.19
1994,May,3.13
1994,Jun,6.33
1994,Jul,2.18
1994,Aug,6.9
1994,Sep,3.69
1994,Oct,1.01
1994,Nov,4.72
1994,Dec,3.24
1995,Jan,2.56
1995,Feb,2.72
1995,Mar,1.39
1995,Apr,3.13
1995,Jun,1.86
1995,Jul,1.41
1995,Aug,3.6
1995,Nov,5.58
1995,Dec,3.62
1996,Jan,4.5
1996,Feb,2.71
1996,Mar,2.33
1996,Apr,5.23
1996,May,5.67
1996,Aug,2.59
1996,Sep,4.63
1996,Oct,1.79
1996,Nov,5.33
1996,Dec,5.84
1997,Jan,2.55
1997,Feb,2.95
1997,Mar,4.61
1997,Apr,3.63
1997,May,3.74
1997,Jun,4.05
1997,Jul,2.86
1997,Aug,3.35
1997,Sep,2.84
1997,Oct,2.29
1997,Nov,4.65
1997,Dec,4.3
1998,Jan,4.84
1998,Feb,4.73
1998,Mar,4.38
1998,Apr,2.82
1998,May,4.25
1998,Jun,5.1
1998,Jul,2.11
1998,Aug,3.42
1998,Sep,2.35
1998,Oct,2.57
1998,Nov,3.04
1998,Dec,2.36
1999,Jan,5.76
1999,Feb,1.5
1999,Mar,4.48
1999,Apr,2.37
1999,May,2.46
1999,Jun,1.7
1999,Jul,3.09
1999,Aug,1.67
1999,Sep,7.5
1999,Oct,3.14
1999,Nov,2.48
1999,Dec,2.49
2000,Jan,5.18
2000,Feb,3.95
2000,Mar,3.63
2000,Apr,5.4
2000,May,10.37
2000,Jun,5.72
2000,Jul,3.56
2000,Aug,2.77
2000,Sep,2.82
2000,Oct,2.69
2000,Nov,3.35
2000,Dec,3.95
2001,Jan,1.98
2001,Feb,3.24
2001,Mar,7.81
2001,Apr,1.14
2001,May,2.77
2001,Jun,6.71
2001,Sep,5.53
2001,Oct,2.51
2001,Nov,2.99
2001,Dec,3.19
2002,Jan,2.59
2002,Feb,4.61
2002,Mar,3.5
2002,Apr,4.97
2002,May,5.5
2002,Jun,6.03
2002,Jul,2.17
2002,Aug,3.09
2002,Sep,7.58
2002,Oct,4.39
2002,Nov,4.87
2002,Dec,5.19
2003,Jan,3.86
2003,Feb,3.77
2003,Mar,3.3
2003,Apr,3.44
2003,May,5.66
2003,Jun,5.15
2003,Jul,5.87
2003,Sep,6.13
2003,Oct,6.8
2003,Nov,5.09
2003,Dec,5.61
2004,Jan,3.5
2004,Feb,2.38
2004,Mar,3.24
2004,Apr,4.16
2004,May,5.22
2004,Jun,2.51
2004,Jul,7.67
2004,Aug,7.76
2004,Sep,3.91
2004,Oct,2.88
2004,Nov,5
2004,Dec,4.57
2005,Jan,4.6
2005,Feb,3.22
2005,Mar,4.39
2005,Apr,5.11
2005,May,1.11
2005,Jun,2.91
2005,Jul,2.17
2005,Aug,3.33
2005,Sep,4.2
2005,Oct,8.77
2005,Dec,3.5
2006,Jan,4.68
2006,Feb,3.33
2006,Mar,3.13
2006,Apr,3.46
2006,May,4.71
2006,Jun,11.96
2006,Jul,7.8
2006,Aug,4.53
2006,Sep,4.02
2006,Oct,6.85
2006,Nov,3.63
2006,Dec,3.03
2007,Jan,4.76
2007,Feb,4.06
2007,Mar,5.7
2007,Apr,5.53
2007,May,0.92
2007,Jun,4.85
2007,Jul,5.33
2007,Aug,2.79
2007,Sep,5.26
2007,Oct,6.17
2007,Nov,5.65
2007,Dec,6.28
2008,Jan,2.14
2008,Feb,5.48
2008,Mar,6.72
2008,Apr,2.99
2008,May,1.94
2008,Jun,4.82
2008,Jul,6.32
2008,Aug,4.38
2008,Sep,2.14
2008,Oct,6.29
2008,Dec,6.19
2009,Jan,3.63
2009,Feb,2.34
2009,Mar,3.68
2009,Apr,3.01
2009,Jun,5.31
2009,Jul,4.84
2009,Aug,4.3
2009,Sep,3.47
2009,Oct,5.24
2009,Nov,2.54
2009,Dec,3.28
2010,Apr,2.7
2010,May,2.86
2010,Aug,5.6
2011,Jan,3.2
2011,Feb,4.43
2011,Mar,5.69
2011,Apr,7.64
2011,May,3.77
2011,Jun,3.95
2011,Jul,1.75
2011,Aug,6.57
2011,Oct,4.33
2011,Dec,3.71
2012,Jan,4.16
2012,Feb,1.26
2012,Mar,3.15
2012,Apr,3.52
2012,May,4.63
2012,Jun,2.47
2012,Jul,1.79
2012,Aug,4.6
2012,Sep,3.23
2012,Oct,4.52
2012,Nov,2.09
2012,Dec,7.52
2013,Feb,2.58
2013,Mar,2.72
2013,Apr,4.4
2013,May,6.03
2013,Jun,7.44
2013,Jul,7.8
2013,Aug,2.58
2013,Sep,5.35
2013,Oct,3.25
2013,Dec,3.7
2014,Jan,3.05
2014,Feb,4.06
2014,Mar,3.86
2014,Apr,3.39
2014,May,3.85
2014,Jun,5.29
2014,Jul,6.07
2014,Aug,5.75
2014,Sep,2.56
2014,Oct,5
2014,Nov,3.12
2014,Dec,4.24
2015,Jan,3.88
2015,Feb,3.06
2015,Mar,2.15
2015,Apr,4.09
2015,May,4.37
2015,Jun,7.97
2015,Jul,3.82
2015,Aug,2.69
2015,Sep,3.64
2015,Oct,4.01
2015,Nov,1.59
2015,Dec,3.62
2016,Jan,2.79
2016,Feb,5.03
2016,Mar,2.89
2016,Apr,3.08
2016,May,2.13
2016,Jun,4.79
2016,Jul,3.66
2016,Aug,6.31
2016,Sep,2.76
2016,Oct,7.35
2016,Nov,4.32
2016,Dec,3.83
2017,Jan,3.76
2017,Feb,3.89
2017,Mar,5.01
2017,Apr,6.43
2017,May,6.41
2017,Jun,6.42
2017,Jul,6.23
2017,Aug,2.82
2017,Sep,2.45
2017,Oct,6.45
2017,Nov,3.83
2018,Feb,3.55
2018,Mar,5.57
2018,Apr,4.07
2018,May,3.77
2018,Jun,3.58
2018,Jul,3.87
2018,Sep,5.66
2018,Oct,6.78
2018,Dec,3.14
2019,Jan,5.26
2019,Feb,2.77
2019,Apr,3.89
2019,May,5.98
2019,Sep,3.31
2019,Oct,7.34
2019,Nov,5.08
2019,Dec,4.71
2020,Jan,3.97
2020,Feb,3.94
2020,Mar,2.58
2020,Apr,4.02
2020,May,5.23
2020,Jun,2.17
2020,Jul,8.96
2020,Aug,5.04
2020,Sep,1.92
2020,Oct,4.57
2020,Nov,3.39
2020,Dec,5.45
2021,Jan,3.55
2021,Mar,1.62
2021,Apr,4.01
2021,May,3.95
2021,Jun,2.84
2021,Jul,6.05
2021,Aug,8.57
2021,Sep,3.43
2021,Oct,10.07
2021,Dec,3.42
2022,Feb,4
2022,Mar,4.95
2022,Apr,5.41
2022,May,3.27
2022,Jun,4.23
2022,Jul,3.35
2022,Aug,5.12
2022,Sep,6.61
2022,Oct,1.46
2022,Nov,4.43
2022,Dec,4.46
2023,Jan,4.35
2023,Feb,2.15
2023,Mar,4.58
2023,Apr,5.12
2023,May,3.65
2023,Jun,6.8
2023,Jul,4.35
2023,Sep,2.41
2023,Oct,5.37
2023,Nov,2.89
2023,Dec,6.66
2024,Jan,5.12
2024,Feb,1.27
2024,Mar,4.87
2024,Apr,4.01
2024,May,4.58
2024,Jun,5.03
2024,Jul,3.39
2024,Aug,6.42
2024,Sep,1.66
2024,Oct,2.57
2024,Nov,3.74
2024,Dec,3.31
